Scheme name	Locus tag	Description
cgMLST V1 + HierCC V1	CD196_RS15035(-)	Protein of uncharacterised function (DUF434)
cgMLST V1 + HierCC V1	CD196_RS16835(fdoG)	spermidine/putrescine ABC transporter substrate-binding protein
cgMLST V1 + HierCC V1	CD630_00010(dnaA)	chromosomal replication initiation protein DnaA
cgMLST V1 + HierCC V1	CD630_00020(dnaN)	DNA polymerase III subunit beta
cgMLST V1 + HierCC V1	CD630_00030(ybcJ)	RNA-binding protein
cgMLST V1 + HierCC V1	CD630_00040(recF)	DNA recombination protein RecF
cgMLST V1 + HierCC V1	CD630_00050(gyrB)	DNA gyrase subunit B
cgMLST V1 + HierCC V1	CD630_00060(gyrA)	DNA gyrase subunit A
cgMLST V1 + HierCC V1	CD630_00070(-)	ytxH-like family protein
cgMLST V1 + HierCC V1	CD630_00080(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_00090(rsbV)	anti-sigma factor antagonist
cgMLST V1 + HierCC V1	CD630_00100(rsbW)	histidine kinase
cgMLST V1 + HierCC V1	CD630_00110(sigB)	RNA polymerase sigma-B factor
cgMLST V1 + HierCC V1	CD630_00120(-)	HTH domain protein
cgMLST V1 + HierCC V1	CD630_00130(mscS)	mechanosensitive ion channel protein
cgMLST V1 + HierCC V1	CD630_00140(serS1)	serine--tRNA ligase
cgMLST V1 + HierCC V1	CD630_00150(tadA)	tRNA-specific adenosine deaminase
cgMLST V1 + HierCC V1	CD630_00160(dnaX)	DNA polymerase III subunit gamma/tau
cgMLST V1 + HierCC V1	CD630_00170(-)	nucleoid-associated protein
cgMLST V1 + HierCC V1	CD630_00180(recR)	recombination protein RecR
cgMLST V1 + HierCC V1	CD630_00181(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_00190(ugtP)	glycosyl transferase
cgMLST V1 + HierCC V1	CD630_00200(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_00210(pycA)	pyruvate carboxylase
cgMLST V1 + HierCC V1	CD630_00220(fusA1)	elongation factor G
cgMLST V1 + HierCC V1	CD630_00230(ctsR)	"Transcriptional regulator, CtsR family"
cgMLST V1 + HierCC V1	CD630_00240(mcsA)	DNA methylase
cgMLST V1 + HierCC V1	CD630_00250(mcsB)	protein arginine kinase
cgMLST V1 + HierCC V1	CD630_00260(clpC)	negative regulator of genetic competence ClpC/MecB
cgMLST V1 + HierCC V1	CD630_00270(radA)	DNA repair protein RadA
cgMLST V1 + HierCC V1	CD630_00280(disA)	helix-hairpin-helix motif family protein
cgMLST V1 + HierCC V1	CD630_00290(-)	twitching motility protein PilT
cgMLST V1 + HierCC V1	CD630_00300(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_00350(deoR)	Crp/Fnr family transcriptional regulator
cgMLST V1 + HierCC V1	CD630_00360(acoA)	"acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha"
cgMLST V1 + HierCC V1	CD630_00370(acoB)	transketolase
cgMLST V1 + HierCC V1	CD630_00380(acoC)	2-oxoacid dehydrogenase acyltransferase
cgMLST V1 + HierCC V1	CD630_00390(acoL)	acetoin dehydrogenase E3 component (dihydrolipoamide dehydrogenase)
cgMLST V1 + HierCC V1	CD630_00400(-)	sigma-54 interaction domain protein
cgMLST V1 + HierCC V1	CD630_00410(gatA)	PTS galactitol transporter subunit IIA
cgMLST V1 + HierCC V1	CD630_00420(gatB)	PTS Lactose/Cellobiose specific IIB subunit
cgMLST V1 + HierCC V1	CD630_00430(gatC)	PTS galactitol transporter subunit IIC
cgMLST V1 + HierCC V1	CD630_00440(-)	membrane protein
cgMLST V1 + HierCC V1	CD630_00450(fucA)	L-ribulose-5-phosphate 4-epimerase
cgMLST V1 + HierCC V1	CD630_00460(lplA)	lipoate--protein ligase A
cgMLST V1 + HierCC V1	CD630_00470(ispD)	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
cgMLST V1 + HierCC V1	CD630_00480(ispF)	"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"
cgMLST V1 + HierCC V1	CD630_00490(proS)	proline--tRNA ligase
cgMLST V1 + HierCC V1	CD630_00500(proS)	Proline--tRNA ligase 2
cgMLST V1 + HierCC V1	CD630_00510(gltX)	glutamate--tRNA ligase
cgMLST V1 + HierCC V1	CD630_00511(-)	hypothetical protein
cgMLST V1 + HierCC V1	CD630_00520(cysS)	cysteine--tRNA ligase
cgMLST V1 + HierCC V1	CD630_00530(mrnC)	RNase3 domain protein
cgMLST V1 + HierCC V1	CD630_00550(rlmB)	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
cgMLST V1 + HierCC V1	CD630_00560(-)	ribonuclease
cgMLST V1 + HierCC V1	CD630_00570(sigH)	RNA polymerase factor sigma-70
cgMLST V1 + HierCC V1	CD630_00581(rpmG)	50S ribosomal protein L33
cgMLST V1 + HierCC V1	CD630_00590(secE)	preprotein translocase subunit SecE
cgMLST V1 + HierCC V1	CD630_00600(nusG)	transcription termination/antitermination protein NusG
cgMLST V1 + HierCC V1	CD630_00610(rplK)	50S ribosomal protein L11
cgMLST V1 + HierCC V1	CD630_00620(rplA)	50S ribosomal protein L1
cgMLST V1 + HierCC V1	CD630_00630(rplJ)	50S ribosomal protein L10
cgMLST V1 + HierCC V1	CD630_00640(rplL)	50S ribosomal protein L7/L12
cgMLST V1 + HierCC V1	CD630_00650(fabG)	oxidoreductase
cgMLST V1 + HierCC V1	CD630_00660(rpoB)	DNA-directed RNA polymerase subunit beta
cgMLST V1 + HierCC V1	CD630_00670(rpoC)	DNA-directed RNA polymerase subunit beta'
cgMLST V1 + HierCC V1	CD630_00680(rpsL)	30S ribosomal protein S12
cgMLST V1 + HierCC V1	CD630_00690(rpsG)	30S ribosomal protein S7
cgMLST V1 + HierCC V1	CD630_00700(fusA)	elongation factor G
cgMLST V1 + HierCC V1	CD630_00720(rpsJ)	30S ribosomal protein S10
cgMLST V1 + HierCC V1	CD630_00730(rplC)	50S ribosomal protein L3
cgMLST V1 + HierCC V1	CD630_00740(rplD)	50S ribosomal protein L4
cgMLST V1 + HierCC V1	CD630_00750(rplW)	50S ribosomal protein L23
cgMLST V1 + HierCC V1	CD630_00760(rplB)	50S ribosomal protein L2
cgMLST V1 + HierCC V1	CD630_00770(rpsS)	30S ribosomal protein S19
cgMLST V1 + HierCC V1	CD630_00780(rplV)	50S ribosomal protein L22
cgMLST V1 + HierCC V1	CD630_00790(rpsC)	30S ribosomal protein S3
cgMLST V1 + HierCC V1	CD630_00800(rplP)	50S ribosomal protein L16
cgMLST V1 + HierCC V1	CD630_00801(rpmC)	50S ribosomal protein L29
cgMLST V1 + HierCC V1	CD630_00810(rpsQ)	30S ribosomal protein S17
cgMLST V1 + HierCC V1	CD630_00820(rplN)	50S ribosomal protein L14
cgMLST V1 + HierCC V1	CD630_00830(rplX)	50S ribosomal protein L24
cgMLST V1 + HierCC V1	CD630_00840(rplE)	50S ribosomal protein L5
cgMLST V1 + HierCC V1	CD630_00841(rpsZ)	30S ribosomal protein S14 type Z
cgMLST V1 + HierCC V1	CD630_00850(rpsH)	30S ribosomal protein S8
cgMLST V1 + HierCC V1	CD630_00860(rplF)	50S ribosomal protein L6
